Song-Name,Singer/Artists,Genre,Album/Movie,emotion,videoId,channelTitle
Aankh Marey,"Kumar Sanu, Mika Singh, Neha Kakkar",BollywoodDance,Simmba,joy,_KhQT-LGb-4,https://i.ytimg.com/vi/_KhQT-LGb-4/hqdefault.jpg
Coca Cola,"Neha Kakkar, Tony Kakkar",BollywoodDanceRomantic,Luka Chuppi,love,9UaG7UL5yS4,https://i.ytimg.com/vi/9UaG7UL5yS4/hqdefault.jpg
Apna Time Aayega,Ranveer Singh,BollywoodDance,Gully Boy,joy,jFGKJBPFdUA,https://i.ytimg.com/vi/jFGKJBPFdUA/hqdefault.jpg
Mungda,"Jyotica Tangri, Shaan, Subhro Ganguly",BollywoodDance,Total Dhamaal,joy,ylW9gdva7Oo,https://i.ytimg.com/vi/ylW9gdva7Oo/hqdefault.jpg
Tere Bin,"Asees Kaur, Rahat Fateh Ali Khan, Tanishk Bagchi",BollywoodRomantic,Simmba,love,GgInEo8OYfo,https://i.ytimg.com/vi/GgInEo8OYfo/hqdefault.jpg
Gali Gali,Neha Kakkar,BollywoodDance,KGF,joy,1BVgpX4w0Wk,https://i.ytimg.com/vi/1BVgpX4w0Wk/hqdefault.jpg
Chamma Chamma,"Arun, Ikka, Neha Kakkar, Romy",BollywoodDance,Fraud Saiyaan,joy,ci-NpErqrGM,https://i.ytimg.com/vi/ci-NpErqrGM/hqdefault.jpg
Mere Gully Mein,Ranveer Singh,BollywoodDance,Gully Boy,joy,pGmbUdf6lEM,https://i.ytimg.com/vi/pGmbUdf6lEM/hqdefault.jpg
Kamariya,Darshan Raval,BollywoodDance,Mitron,joy,i0_m90T04uw,https://i.ytimg.com/vi/i0_m90T04uw/hqdefault.jpg
Ek Ladki Ko Dekha Toh Aisa Laga,"Darshan Raval, Rochak Kohli",BollywoodRomantic,Ek Ladki Ko Dekha Toh Aisa Laga,love,fTauOK8J-U8,https://i.ytimg.com/vi/fTauOK8J-U8/hqdefault.jpg
Swag Se Swagat,"Neha Bhasin, Vishal Dadlani",BollywoodDance,Tiger Zinda Hai,joy,7TRFf7uUfhQ,https://i.ytimg.com/vi/7TRFf7uUfhQ/hqdefault.jpg
Poster Lagwa Do,"Mika Singh, Sunanda Sharma",BollywoodDance,Luka Chuppi,joy,MXEMx_48G_k,https://i.ytimg.com/vi/MXEMx_48G_k/hqdefault.jpg
Daaru Wargi,Guru Randhawa,BollywoodDance,Cheat India,joy,VXVmtHcf2Dg,https://i.ytimg.com/vi/VXVmtHcf2Dg/hqdefault.jpg
Dilbar,"Dhvani Bhanushali, Ikka, Neha Kakkar",BollywoodDance,Satyameva Jayate,joy,JFcgOboQZ08,https://i.ytimg.com/vi/JFcgOboQZ08/hqdefault.jpg
Proper Patola,"Aastha Gill, Badshah, Diljit Dosanjh",BollywoodDance,Namaste England,joy,YmXJp4RtBCM,https://i.ytimg.com/vi/YmXJp4RtBCM/hqdefault.jpg
Doori,Ranveer Singh,BollywoodDance,Gully Boy,joy,QPGmwRNkffc,https://i.ytimg.com/vi/QPGmwRNkffc/hqdefault.jpg
Dil Diyan Gallan,Atif Aslam,BollywoodRomantic,Tiger Zinda Hai,love,Ie48p0FE3jI,https://i.ytimg.com/vi/Ie48p0FE3jI/hqdefault.jpg
Husn Parcham,"Bhoomi Trivedi, Raja Kumari",BollywoodDance,Zero,joy,0BOekEZXjmQ,https://i.ytimg.com/vi/0BOekEZXjmQ/hqdefault.jpg
Bom Diggy Diggy,"Jasmin Walia, Zack Knight",BollywoodDance,Sonu Ke Titu Ki Sweety,joy,yIIGQB6EMAM,https://i.ytimg.com/vi/yIIGQB6EMAM/hqdefault.jpg
Issaqbaazi,"Divya Kumar, Sukhwinder Singh",BollywoodDance,Zero,joy,zPlR4Z3iF8A,https://i.ytimg.com/vi/zPlR4Z3iF8A/hqdefault.jpg
Mere Naam Tu,Abhay Jodhpurkar,BollywoodRomantic,Zero,love,VGPmFSB8qVY,https://i.ytimg.com/vi/VGPmFSB8qVY/hqdefault.jpg
High Rated Gabru – Nawabzaade,Guru Randhawa,BollywoodDance,Nawabzaade,joy,DxCfhmYe-Cw,https://i.ytimg.com/vi/DxCfhmYe-Cw/hqdefault.jpg
Dekhte Dekhte,Atif Aslam,BollywoodRomantic,Batti Gul Meter Chalu,love,rkWJyMhIWLo,https://i.ytimg.com/vi/rkWJyMhIWLo/hqdefault.jpg
Zingaat,"Ajay, Atul",BollywoodDance,Dhadak,joy,2gcsgfzqN8k,https://i.ytimg.com/vi/2gcsgfzqN8k/hqdefault.jpg
Tareefan,Badshah,Bollywood,Veere Di Wedding,neutral,3SWc5G8Gx7E,https://i.ytimg.com/vi/3SWc5G8Gx7E/hqdefault.jpg
Mile Ho Tum (Reprise),"Neha Kakkar, Tony Kakkar",BollywoodRomantic,Fever,love,N2-HsIYd0Go,https://i.ytimg.com/vi/N2-HsIYd0Go/hqdefault.jpg
Dil Chori,"Ishers, Simar Kaur, Yo Yo Honey Singh",BollywoodDance,Sonu Ke Titu Ki Sweety,joy,xWi8nDUjHGA,https://i.ytimg.com/vi/xWi8nDUjHGA/hqdefault.jpg
Tere Naal Nachna,"Badshah, Sunanda Sharma",BollywoodDance,Nawabzaade,joy,94vimg-so20,https://i.ytimg.com/vi/94vimg-so20/hqdefault.jpg
Dil Meri Na Sune,Atif Aslam,BollywoodRomantic,Genius,love,YZLKoG_vhDY,https://i.ytimg.com/vi/YZLKoG_vhDY/hqdefault.jpg
Dhadak Title Track,"Ajay Gogavale, Shreya Ghoshal",BollywoodRomantic,Dhadak,love,qWnzMwT6SKo,https://i.ytimg.com/vi/qWnzMwT6SKo/hqdefault.jpg
Heeriye,"Deep Money, Meet Bros, Neha Bhasin",BollywoodDanceRomantic,Race 3,love,VlzVXW65-jo,https://i.ytimg.com/vi/VlzVXW65-jo/hqdefault.jpg
Chogada,"Asees Kaur, Darshan Raval",BollywoodDance,Loveratri,joy,asYxxtiWUyw,https://i.ytimg.com/vi/asYxxtiWUyw/hqdefault.jpg
Gud Naal Ishq Mitha,"Harshdeep Kaur, Navraj Hans",BollywoodDance,Ek Ladki Ko Dekha Toh Aisa Laga,joy,rrBE8ZuAtgY,https://i.ytimg.com/vi/rrBE8ZuAtgY/hqdefault.jpg
Paniyon Sa,"Atif Aslam, Tulsi Kumar",BollywoodRomantic,Satyameva Jayate,love,Jm7Satp7Zqk,https://i.ytimg.com/vi/Jm7Satp7Zqk/hqdefault.jpg
Milegi Milegi,Mika Singh,BollywoodDance,Stree,joy,1xYZeDReUz4,https://i.ytimg.com/vi/1xYZeDReUz4/hqdefault.jpg
Morni Banke,"Guru Randhawa, Neha Kakkar",BollywoodDance,Badhaai Ho,joy,1EadhOBcfI0,https://i.ytimg.com/vi/1EadhOBcfI0/hqdefault.jpg
Bhare Bazaar,"B Praak, Badshah, Payal Dev, Vishal Dadlani",BollywoodDance,Namaste England,joy,V8428ROKt4A,https://i.ytimg.com/vi/V8428ROKt4A/hqdefault.jpg
Khalibali,Shivam Pathak,BollywoodDance,Padmaavat,joy,v7K4vGYL9zI,https://i.ytimg.com/vi/v7K4vGYL9zI/hqdefault.jpg
