Sr. no.,Song-Name,Genre,videoId,Singer/Artists,channelTitle
1,Aachal ke tuze,Classical,Y_8VmzWOsgs,Kishor Kumar,https://i.ytimg.com/vi/Y_8VmzWOsgs/hqdefault.jpg
2,AA Dekhe jara,Classical,LACqYdGD7zU,Kishor Kumar,https://i.ytimg.com/vi/LACqYdGD7zU/hqdefault.jpg
3,Aadmi jo kaheta Hai,Classical,J4i7hGkR3g8,Kishor Kumar,https://i.ytimg.com/vi/J4i7hGkR3g8/hqdefault.jpg
4,Aai Khuda Har faisala tera,Classical,302fVuJqa8Y,Kishor Kumar,https://i.ytimg.com/vi/302fVuJqa8Y/hqdefault.jpg
5,Aaiye Shauk se Kahiye,Classical,yaaoqmrY67s,Kishor Kumar,https://i.ytimg.com/vi/yaaoqmrY67s/hqdefault.jpg
6,Aaj ka ye din,Classical,2eJjHaSmgZ8,Kishor Kumar,https://i.ytimg.com/vi/2eJjHaSmgZ8/hqdefault.jpg
7,Aaj Madhosh Hua Jaye re,Classical,DP_r-pa8dXA,Kishor Kumar,https://i.ytimg.com/vi/DP_r-pa8dXA/hqdefault.jpg
8,Aaj na chhodenge,Classical,VGQRMUqya3s,Kishor Kumar,https://i.ytimg.com/vi/VGQRMUqya3s/hqdefault.jpg
9,Aaj Rapat jaye to hame,Classical,WlkJtvpcAsU,Kishor Kumar,https://i.ytimg.com/vi/WlkJtvpcAsU/hqdefault.jpg
10,Aake seedhi lagi dilpe jaise,Classical,DbuZZUHkeBI,Kishor Kumar,https://i.ytimg.com/vi/DbuZZUHkeBI/hqdefault.jpg
11,Aane wala pal jane wala hai,Classical,xobeTscjOM0,Kishor Kumar,https://i.ytimg.com/vi/xobeTscjOM0/hqdefault.jpg
12,Aankho Aankho me bat hone do,Classical,KCOSfVFVy1k,Kishor Kumar,https://i.ytimg.com/vi/KCOSfVFVy1k/hqdefault.jpg
13,Aapke kamare me koi,Classical,xqsreJs7owg,Kishor Kumar,https://i.ytimg.com/vi/xqsreJs7owg/hqdefault.jpg
